impl	case	pipeline	type	time	score
minipass-v5	slow-fast	20	obj	36.37870812416077	889.226957938094
minipass-v3	slow-fast	20	obj	36.09575009346008	896.1976929474132
core-passthrough	fast-slow	1	defaults	35.926417112350464	900.421766462336
core-extend-transform	fast-slow	1	defaults	32.54316711425781	994.0313382956691
extend-minipass-current	fast-fast	20	obj	31.361207962036133	1031.4949602108707
core-passthrough	slow-fast	1	defaults	31.042332887649536	1042.0907499460393
core-extend-transform	slow-fast	1	defaults	30.72125005722046	1052.9821507495033
minipass-current	fast-fast	20	obj	30.116125106811523	1074.139778747591
minipass-latest	fast-fast	20	obj	29.797584056854248	1085.6225087659136
minipass-v5	fast-fast	20	obj	29.30795907974243	1103.759148528523
minipass-v3	fast-fast	20	obj	29.18766713142395	1108.3081019564556
minipass-v4	fast-fast	20	obj	28.896167039871216	1119.488543734189
core-extend-transform	fast-mixed	1	obj	28.041290998458862	1153.6176405267213
core-passthrough	fast-mixed	1	obj	25.87837505340576	1250.0370634634562
core-passthrough	fast-slow	1	obj	25.536499977111816	1266.7721883562515
minipass-current-async	fast-mixed	1	str	24.439208030700684	1323.6487826581115
core-passthrough	fast-fast	1	defaults	24.39108395576477	1326.2603670108608
minipass-current-async	fast-slow	1	str	24.252208948135376	1333.8549089753096
core-extend-transform	fast-fast	1	defaults	24.127000093460083	1340.777047857428
core-extend-transform	fast-slow	1	obj	23.765000104904175	1361.2004130515336
minipass-current-async	fast-slow	1	defaults	23.611124992370605	1370.0714374862746
minipass-current-async	fast-mixed	1	defaults	22.599792003631592	1431.3816673076951
minipass-current-async	slow-slow	1	defaults	21.52458381652832	1502.8828540752168
extend-minipass-current	slow-slow	1	defaults	19.91116714477539	1624.6625686859109
minipass-latest	slow-slow	1	defaults	19.82358407974243	1631.8405303924037
minipass-v3	slow-slow	1	str	19.677291870117188	1643.972563525971
minipass-v4	slow-slow	1	defaults	19.634707927703857	1647.5380269508437
minipass-current	slow-slow	1	defaults	19.602458000183105	1650.2485534550378
minipass-v5	slow-slow	1	defaults	19.6010000705719	1650.371299550812
minipass-v5	slow-slow	1	str	19.504374980926514	1658.5472741679537
minipass-v3	slow-slow	1	defaults	19.341042041778564	1672.5535205956544
extend-minipass-current	slow-slow	1	str	19.340209007263184	1672.6255619479973
minipass-current	slow-slow	1	str	19.340165853500366	1672.6292940818025
minipass-v4	slow-slow	1	str	19.170832872390747	1687.4033681423016
minipass-latest	slow-slow	1	str	19.03404211997986	1699.530123714969
minipass-current-async	slow-slow	1	str	18.75612497329712	1724.712754101399
minipass-current	slow-slow	1	obj	17.1333749294281	1888.0651414102385
extend-minipass-current	slow-slow	1	obj	17.08750009536743	1893.1340323875331
minipass-latest	slow-slow	1	obj	16.994542121887207	1903.4892335994882
minipass-current-async	fast-fast	1	defaults	16.789916038513184	1926.6878931831711
minipass-v5	slow-slow	1	obj	16.68008303642273	1939.3745156021098
minipass-v4	slow-slow	1	obj	16.464499950408936	1964.7683231437488
minipass-v3	slow-slow	1	obj	16.29824995994568	1984.809905263787
core-passthrough	slow-slow	1	obj	15.817957878112793	2045.0761222298047
minipass-current-async	slow-fast	1	defaults	15.29449987411499	2115.069353376758
extend-minipass-current	slow-fast	1	str	15.27899980545044	2117.2150252548304
minipass-v3	fast-mixed	1	defaults	14.748833894729614	2193.321057776978
minipass-current-async	slow-fast	1	str	14.680792093276978	2203.486552594079
core-extend-transform	slow-slow	1	obj	14.533082962036133	2225.882013022866
minipass-current-async	slow-slow	1	obj	14.529249906539917	2226.469237369534
minipass-v3	fast-mixed	1	str	14.528291940689087	2226.6160461964787
minipass-v5	slow-fast	1	str	14.087542057037354	2296.2790689810627
minipass-v3	slow-fast	1	str	13.941625118255615	2320.3125664745185
extend-minipass-current	slow-fast	1	defaults	13.905959129333496	2326.263701633342
minipass-current	slow-fast	1	str	13.745499849319458	2353.4195419286193
minipass-latest	slow-fast	1	defaults	13.740790843963623	2354.2260650285857
minipass-current-async	fast-fast	1	str	13.664083003997803	2367.442290090066
minipass-v4	slow-fast	1	str	13.651708126068115	2369.588307941817
minipass-v3	slow-fast	1	defaults	13.644958019256592	2370.760533913885
